ID	NAME	LON	LAT	ALT
1	EL_PERELLO	812768	4531594	164
2	L_AMETLLA DE MAR	820261	4532998	19
3	VANDELLOS	821946	4548060	283
5	ARGENTERA	828783	4561037	475
7	PANTA_DE_RIUDECANYES	832981	4561227	196
8	MONTBRIO_DEL_CAMP	836154	4559827	131
9	ALFORJA_(HOSPITAL)	833498	4569844	370
12	RIUDECOLS	833451	4565267	304
13	CAMBRILS	840590	4554931	26
15	VILAPLANA_(RECTORIA)	838038	4572125	362
16	REUS	845488	4563663	101
17	VILASECA_DE_SOLCINA	848069	4559519	45
18	SALOU_(FAR)	850533	4553484	6
19	VIMBODI_(RIUDABELLA)	837996	4588044	562
20	VIMBODI	838570	4590699	478
21	VIMBODI_(LA PENA)	842951	4587659	817
22	MONTBLANC	848477	4589005	338
24	ROCAFORT_DE_QUERALT	857516	4600734	562
25	SARRAL	854953	4597051	468
28	BARBARA	853835	4593749	446
