 SOUID,    DATE,   DD, Q_DD
115612,19200101,-9999,    9
115612,19200102,-9999,    9
115612,19200103,-9999,    9
115612,19200104,-9999,    9
115612,19200105,-9999,    9
115612,19200106,-9999,    9
115612,19200107,-9999,    9
115612,19200108,-9999,    9
115612,19200109,-9999,    9
115612,19200110,-9999,    9
115612,19200111,-9999,    9
115612,19200112,-9999,    9
115612,19200113,-9999,    9
115612,19200114,-9999,    9
115612,19200115,-9999,    9
115612,19200116,-9999,    9
115612,19200117,-9999,    9
115612,19200118,-9999,    9
115612,19200119,-9999,    9
115612,19200120,-9999,    9
115612,19200121,-9999,    9
115612,19200122,-9999,    9
115612,19200123,-9999,    9
115612,19200124,-9999,    9
115612,19200125,-9999,    9
115612,19200126,-9999,    9
115612,19200127,-9999,    9
115612,19200128,-9999,    9
115612,19200129,-9999,    9
115612,19200130,-9999,    9
115612,19200131,-9999,    9
115612,19200201,-9999,    9
115612,19200202,-9999,    9
115612,19200203,-9999,    9
115612,19200204,-9999,    9
115612,19200205,-9999,    9
115612,19200206,-9999,    9
115612,19200207,-9999,    9
115612,19200208,-9999,    9
115612,19200209,-9999,    9
115612,19200210,-9999,    9
115612,19200211,-9999,    9
115612,19200212,-9999,    9
115612,19200213,-9999,    9
115612,19200214,-9999,    9
115612,19200215,-9999,    9
115612,19200216,-9999,    9
115612,19200217,-9999,    9
115612,19200218,-9999,    9
115612,19200219,-9999,    9
115612,19200220,-9999,    9
115612,19200221,-9999,    9
115612,19200222,-9999,    9
115612,19200223,-9999,    9
115612,19200224,-9999,    9
115612,19200225,-9999,    9
115612,19200226,-9999,    9
115612,19200227,-9999,    9
115612,19200228,-9999,    9
115612,19200229,-9999,    9
115612,19200301,-9999,    9
115612,19200302,-9999,    9
115612,19200303,-9999,    9
115612,19200304,-9999,    9
115612,19200305,-9999,    9
115612,19200306,-9999,    9
115612,19200307,-9999,    9
115612,19200308,-9999,    9
115612,19200309,-9999,    9
115612,19200310,-9999,    9
115612,19200311,-9999,    9
115612,19200312,-9999,    9
115612,19200313,-9999,    9
115612,19200314,-9999,    9
115612,19200315,-9999,    9
115612,19200316,-9999,    9
115612,19200317,-9999,    9
115612,19200318,-9999,    9
115612,19200319,-9999,    9
115612,19200320,-9999,    9
115612,19200321,-9999,    9
115612,19200322,-9999,    9
115612,19200323,-9999,    9
115612,19200324,-9999,    9
115612,19200325,-9999,    9
115612,19200326,-9999,    9
115612,19200327,-9999,    9
115612,19200328,-9999,    9
115612,19200329,-9999,    9
115612,19200330,-9999,    9
115612,19200331,-9999,    9
115612,19200401,-9999,    9
115612,19200402,-9999,    9
115612,19200403,-9999,    9
115612,19200404,-9999,    9
115612,19200405,-9999,    9
115612,19200406,-9999,    9
115612,19200407,-9999,    9
115612,19200408,-9999,    9
115612,19200409,-9999,    9
115612,19200410,-9999,    9
115612,19200411,-9999,    9
115612,19200412,-9999,    9
115612,19200413,-9999,    9
115612,19200414,-9999,    9
115612,19200415,-9999,    9
115612,19200416,-9999,    9
115612,19200417,-9999,    9
115612,19200418,-9999,    9
115612,19200419,-9999,    9
115612,19200420,-9999,    9
115612,19200421,-9999,    9
115612,19200422,-9999,    9
115612,19200423,-9999,    9
115612,19200424,-9999,    9
115612,19200425,-9999,    9
115612,19200426,-9999,    9
115612,19200427,-9999,    9
115612,19200428,-9999,    9
115612,19200429,-9999,    9
115612,19200430,-9999,    9
115612,19200501,-9999,    9
115612,19200502,-9999,    9
115612,19200503,-9999,    9
115612,19200504,-9999,    9
115612,19200505,-9999,    9
115612,19200506,-9999,    9
115612,19200507,-9999,    9
115612,19200508,-9999,    9
115612,19200509,-9999,    9
115612,19200510,-9999,    9
115612,19200511,-9999,    9
115612,19200512,-9999,    9
115612,19200513,-9999,    9
115612,19200514,-9999,    9
115612,19200515,-9999,    9
115612,19200516,-9999,    9
115612,19200517,-9999,    9
115612,19200518,-9999,    9
115612,19200519,-9999,    9
115612,19200520,-9999,    9
115612,19200521,-9999,    9
115612,19200522,-9999,    9
115612,19200523,-9999,    9
115612,19200524,-9999,    9
115612,19200525,-9999,    9
115612,19200526,-9999,    9
115612,19200527,-9999,    9
115612,19200528,-9999,    9
115612,19200529,-9999,    9
115612,19200530,-9999,    9
115612,19200531,-9999,    9
115612,19200601,-9999,    9
115612,19200602,-9999,    9
115612,19200603,-9999,    9
115612,19200604,-9999,    9
115612,19200605,-9999,    9
115612,19200606,-9999,    9
115612,19200607,-9999,    9
115612,19200608,-9999,    9
115612,19200609,-9999,    9
115612,19200610,-9999,    9
115612,19200611,-9999,    9
115612,19200612,-9999,    9
115612,19200613,-9999,    9
115612,19200614,-9999,    9
115612,19200615,-9999,    9
115612,19200616,-9999,    9
115612,19200617,-9999,    9
115612,19200618,-9999,    9
115612,19200619,-9999,    9
115612,19200620,-9999,    9
115612,19200621,-9999,    9
115612,19200622,-9999,    9
115612,19200623,-9999,    9
115612,19200624,-9999,    9
115612,19200625,-9999,    9
115612,19200626,-9999,    9
115612,19200627,-9999,    9
115612,19200628,-9999,    9
115612,19200629,-9999,    9
115612,19200630,-9999,    9
115612,19200701,-9999,    9
115612,19200702,-9999,    9
115612,19200703,-9999,    9
115612,19200704,-9999,    9
115612,19200705,-9999,    9
115612,19200706,-9999,    9
115612,19200707,-9999,    9
115612,19200708,-9999,    9
115612,19200709,-9999,    9
115612,19200710,-9999,    9
115612,19200711,-9999,    9
115612,19200712,-9999,    9
115612,19200713,-9999,    9
115612,19200714,-9999,    9
115612,19200715,-9999,    9
115612,19200716,-9999,    9
115612,19200717,-9999,    9
115612,19200718,-9999,    9
115612,19200719,-9999,    9
115612,19200720,-9999,    9
115612,19200721,-9999,    9
115612,19200722,-9999,    9
115612,19200723,-9999,    9
115612,19200724,-9999,    9
115612,19200725,-9999,    9
115612,19200726,-9999,    9
115612,19200727,-9999,    9
115612,19200728,-9999,    9
115612,19200729,-9999,    9
115612,19200730,-9999,    9
115612,19200731,-9999,    9
115612,19200801,-9999,    9
115612,19200802,-9999,    9
115612,19200803,-9999,    9
115612,19200804,-9999,    9
115612,19200805,-9999,    9
115612,19200806,-9999,    9
115612,19200807,-9999,    9
115612,19200808,-9999,    9
115612,19200809,-9999,    9
115612,19200810,-9999,    9
115612,19200811,-9999,    9
115612,19200812,-9999,    9
115612,19200813,-9999,    9
115612,19200814,-9999,    9
115612,19200815,-9999,    9
115612,19200816,-9999,    9
115612,19200817,-9999,    9
115612,19200818,-9999,    9
115612,19200819,-9999,    9
115612,19200820,-9999,    9
115612,19200821,-9999,    9
115612,19200822,-9999,    9
115612,19200823,-9999,    9
115612,19200824,-9999,    9
115612,19200825,-9999,    9
115612,19200826,-9999,    9
115612,19200827,-9999,    9
115612,19200828,-9999,    9
115612,19200829,-9999,    9
115612,19200830,-9999,    9
115612,19200831,-9999,    9
115612,19200901,-9999,    9
115612,19200902,-9999,    9
115612,19200903,-9999,    9
115612,19200904,-9999,    9
115612,19200905,-9999,    9
115612,19200906,-9999,    9
115612,19200907,-9999,    9
115612,19200908,-9999,    9
115612,19200909,-9999,    9
115612,19200910,-9999,    9
115612,19200911,-9999,    9
115612,19200912,-9999,    9
115612,19200913,-9999,    9
115612,19200914,-9999,    9
115612,19200915,-9999,    9
115612,19200916,-9999,    9
115612,19200917,-9999,    9
115612,19200918,-9999,    9
115612,19200919,-9999,    9
115612,19200920,-9999,    9
115612,19200921,-9999,    9
115612,19200922,-9999,    9
115612,19200923,-9999,    9
115612,19200924,-9999,    9
115612,19200925,-9999,    9
115612,19200926,-9999,    9
115612,19200927,-9999,    9
115612,19200928,-9999,    9
115612,19200929,-9999,    9
115612,19200930,-9999,    9
115612,19201001,-9999,    9
115612,19201002,-9999,    9
115612,19201003,-9999,    9
115612,19201004,-9999,    9
115612,19201005,-9999,    9
115612,19201006,-9999,    9
115612,19201007,-9999,    9
115612,19201008,-9999,    9
115612,19201009,-9999,    9
115612,19201010,-9999,    9
115612,19201011,-9999,    9
115612,19201012,-9999,    9
115612,19201013,-9999,    9
115612,19201014,-9999,    9
115612,19201015,-9999,    9
115612,19201016,-9999,    9
115612,19201017,-9999,    9
115612,19201018,-9999,    9
115612,19201019,-9999,    9
115612,19201020,-9999,    9
115612,19201021,-9999,    9
115612,19201022,-9999,    9
115612,19201023,-9999,    9
115612,19201024,-9999,    9
115612,19201025,-9999,    9
115612,19201026,-9999,    9
115612,19201027,-9999,    9
115612,19201028,-9999,    9
115612,19201029,-9999,    9
115612,19201030,-9999,    9
115612,19201031,-9999,    9
115612,19201101,-9999,    9
115612,19201102,-9999,    9
115612,19201103,-9999,    9
115612,19201104,-9999,    9
115612,19201105,-9999,    9
115612,19201106,-9999,    9
115612,19201107,-9999,    9
115612,19201108,-9999,    9
115612,19201109,-9999,    9
115612,19201110,-9999,    9
115612,19201111,-9999,    9
115612,19201112,-9999,    9
115612,19201113,-9999,    9
115612,19201114,-9999,    9
115612,19201115,-9999,    9
115612,19201116,-9999,    9
115612,19201117,-9999,    9
