"Geography","Population mid-2017 (millions)","Population mid-2030 (millions)","Population mid-2050 (millions)"
"AFRICA","1,250","1,706","2,574"
"NORTHERN AFRICA","230","287","381"
"Algeria","42.2","51.7","64.8"
"Egypt","93.4","118.7","163.5"
"Libya","6.4","7.3","8.1"
"Morocco","35.1","38.7","40.2"
"Sudan","40.6","56.8","88.1"
"Tunisia","11.5","13.2","15.3"
"Western Sahara","0.6","0.7","0.9"
"WESTERN AFRICA","371","517","809"
"Benin","11.2","15.6","23.9"
"Burkina Faso","19.6","28.9","48.4"
"Cape Verde","0.5","0.6","0.6"
"Cote d'Ivoire","24.4","33","50.1"
"Gambia","2.1","3.2","5.1"
"Ghana","28.8","37.2","51.2"
"Guinea","11.5","16","24.3"
"Guinea-Bissau","1.9","2.5","3.6"
"Liberia","4.7","6.5","9.8"
"Mali","18.9","27.5","44.8"
"Mauritania","4.4","6.1","9"
"Niger","20.6","33.5","65.6"
"Nigeria","190.9","264.1","410.6"
"Senegal","15.8","22","33.8"
"Sierra Leone","7.6","9.7","13"
"Togo","7.8","10.5","15.3"
"EASTERN AFRICA","422","586","886"
"Burundi","10.4","15.3","23.5"
"Comoros","0.8","1.1","1.5"
"Djibouti","1","1.1","1.3"
"Eritrea","5.9","6.8","8.9"
"Ethiopia","105","139.6","190.9"
"Kenya","49.7","67","95.5"
"Madagascar","25.5","34.2","48.1"
"Malawi","18.6","25.6","37.4"
"Mauritius","1.3","1.2","1.1"
"Mozambique","29.7","42.4","67.8"
"Rwanda","12.3","16.6","24.3"
"Seychelles","0.09","0.1","0.1"
"Somalia","14.7","21.5","35.9"
"South Sudan","12.6","17.9","27.9"
"Tanzania","57.5","86.7","152.2"
"Uganda","42.8","61.6","95.6"
"Zambia","16.4","23.9","39.3"
"Zimbabwe","16.6","22.4","33.2"
"MIDDLE AFRICA","163","243","410"
"Angola","28.6","44.3","79.6"
"Cameroon","25","34.4","51.9"
"Central African Republic","4.7","6.1","8.9"
"Chad","14.9","22.2","36.8"
"Congo","5","6.7","10.2"
"Congo, Dem. Rep.","81.5","124.3","215.9"
"Equatorial Guinea","1.3","1.9","2.9"
"Gabon","2","2.5","3.5"
"Sao Tome and Principe","0.2","0.3","0.3"
"SOUTHERN AFRICA","65","74","88"
"Botswana","2.3","2.8","3.4"
"Lesotho","2.2","2.6","3.2"
"Namibia","2.5","3.1","4.2"
"South Africa","56.5","63.4","75.2"
"Swaziland","1.4","1.7","2.1"
"NORTHERN AMERICA","362","399","444"
"Canada","36.7","41.2","47.1"
"United States","325.4","357.7","396.8"
"LATIN AMERICA AND THE CARIBBEAN","643","717","783"
"CENTRAL AMERICA","177","205","232"
"Belize","0.4","0.5","0.6"
"Costa Rica","4.9","5.6","6.1"
"El Salvador","6.4","7.2","8"
"Guatemala","16.9","21.2","27"
"Honduras","8.9","10.7","12.7"
"Mexico","129.2","147.5","164.3"
