"Geography","Percent of Population Ages <15","Percent of Population Ages 65+","Births per 1,000 Population"
"AFRICA","41","3","35"
"NORTHERN AFRICA","31","5","28"
"Algeria","29","6","26"
"Egypt","31","4","30"
"Libya","29","4","20"
"Morocco","25","6","19"
"Sudan","41","4","34"
"Tunisia","24","8","20"
"Western Sahara","29","3","20"
"WESTERN AFRICA","44","3","39"
"Benin","43","3","37"
"Burkina Faso","49","3","41"
"Cape Verde","31","5","20"
"Cote d'Ivoire","43","3","37"
"Gambia","46","2","40"
"Ghana","39","3","32"
"Guinea","43","3","36"
"Guinea-Bissau","42","3","37"
"Liberia","42","3","35"
"Mali","48","3","43"
"Mauritania","40","3","35"
"Niger","50","3","48"
"Nigeria","44","3","39"
"Senegal","43","3","37"
"Sierra Leone","43","3","37"
"Togo","42","3","35"
"EASTERN AFRICA","43","3","36"
"Burundi","45","3","42"
"Comoros","40","3","33"
"Djibouti","32","4","23"
"Eritrea","41","4","31"
"Ethiopia","42","3","33"
"Kenya","41","3","32"
"Madagascar","41","3","33"
"Malawi","44","3","35"
"Mauritius","20","9","10"
"Mozambique","45","3","39"
"Rwanda","40","3","33"
"Seychelles","22","8","17"
"Somalia","47","3","44"
"South Sudan","42","3","37"
"Tanzania","45","3","40"
"Uganda","48","3","40"
"Zambia","45","3","39"
"Zimbabwe","41","3","36"
"MIDDLE AFRICA","46","3","42"
"Angola","47","2","45"
"Cameroon","43","3","36"
"Central African Republic","44","4","36"
"Chad","48","2","46"
"Congo","42","3","36"
"Congo, Dem. Rep.","46","3","44"
"Equatorial Guinea","37","3","35"
"Gabon","36","5","30"
"Sao Tome and Principe","42","4","33"
"SOUTHERN AFRICA","30","5","22"
"Botswana","33","5","24"
"Lesotho","36","4","29"
"Namibia","38","4","28"
"South Africa","30","5","21"
"Swaziland","38","3","29"
"NORTHERN AMERICA","19","15","12"
"Canada","16","17","11"
"United States","19","15","12"
"LATIN AMERICA AND THE CARIBBEAN","26","8","17"
"CENTRAL AMERICA","29","6","20"
"Belize","32","4","24"
"Costa Rica","23","8","14"
"El Salvador","28","8","20"
"Guatemala","40","5","24"
"Honduras","33","4","22"
"Mexico","27","6","20"
"Nicaragua","30","5","20"
"Panama","27","8","19"
"CARIBBEAN","25","10","17"
"Antigua and Barbuda","25","7","15"
"Bahamas","21","8","13"
"Barbados","19","15","11"
"Cuba","17","15","11"
"Curacao","18","16","11"
"Dominica","22","10","12"
"Dominican Republic","30","7","21"
"Grenada","26","7","17"
"Haiti","33","4","23"
"Jamaica","23","9","17"
"Puerto Rico","16","19","9"
"St. Kitts-Nevis","21","8","14"
"Saint Lucia","21","11","12"
"St. Vincent and the Grenadines","25","7","16"
"Trinidad and Tobago","19","10","14"
"SOUTH AMERICA","25","8","16"
"Argentina","25","12","17"
"Bolivia","32","6","24"
"Brazil","23","8","13"
"Chile","20","11","14"
"Colombia","26","8","18"
"Ecuador","30","7","20"
"Guyana","30","5","21"
"Paraguay","30","6","21"
"Peru","28","7","20"
"Suriname","27","7","18"
"Uruguay","21","14","14"
"Venezuela","28","7","19"
"ASIA","24","8","18"
"WESTERN ASIA","29","5","21"
"Armenia","20","11","14"
"Azerbaijan","23","6","17"
"Bahrain","21","2","14"
"Cyprus","17","13","12"
"Georgia","19","14","15"
"Iraq","40","3","32"
"Israel","28","11","21"
"Jordan","36","4","26"
"Kuwait","21","2","15"
"Lebanon","25","7","14"
