"Geography","Deaths per 1,000 Population","Infant Mortality Rate","Total Fertility Rate"
"AFRICA","9","51","4.6"
"NORTHERN AFRICA","6","24","3.3"
"Algeria","4","21","3.1"
"Egypt","7","16","3.3"
"Libya","5","23","2.3"
"Morocco","5","25","2.4"
"Sudan","8","46","4.7"
"Tunisia","6","15","2.4"
"Western Sahara","5","31","2.4"
"WESTERN AFRICA","11","64","5.3"
"Benin","9","67","5"
"Burkina Faso","9","65","5.7"
"Cape Verde","6","21","2.3"
"Cote d'Ivoire","13","64","5"
"Gambia","8","47","5.5"
"Ghana","8","41","4"
"Guinea","10","59","4.9"
"Guinea-Bissau","11","75","4.7"
"Liberia","8","54","4.7"
"Mali","11","56","6"
"Mauritania","8","75","4.6"
"Niger","10","61","7.3"
"Nigeria","13","69","5.5"
"Senegal","6","39","4.9"
"Sierra Leone","13","92","4.9"
"Togo","9","52","4.5"
"EASTERN AFRICA","8","47","4.7"
"Burundi","11","47","5.5"
"Comoros","8","55","4.3"
"Djibouti","8","53","2.9"
"Eritrea","7","46","4.2"
"Ethiopia","7","48","4.6"
"Kenya","6","37","3.9"
"Madagascar","7","33","4.2"
"Malawi","8","42","4.4"
"Mauritius","8","13.7","1.4"
"Mozambique","10","65","5.3"
"Rwanda","6","32","4.2"
"Seychelles","8","13.4","2.3"
"Somalia","12","74","6.4"
"South Sudan","11","72","5.1"
"Tanzania","7","43","5.2"
"Uganda","9","43","5.4"
"Zambia","8","50","5.2"
"Zimbabwe","9","50","4"
"MIDDLE AFRICA","10","62","5.9"
"Angola","9","44","6.2"
"Cameroon","10","54","4.8"
"Central African Republic","14","87","4.9"
"Chad","13","72","6.4"
"Congo","10","42","4.7"
"Congo, Dem. Rep.","10","69","6.3"
"Equatorial Guinea","10","65","4.8"
"Gabon","8","38","3.9"
"Sao Tome and Principe","7","38","4.4"
"SOUTHERN AFRICA","9","35","2.5"
"Botswana","7","31","2.8"
"Lesotho","13","59","3.3"
"Namibia","8","38","3.4"
"South Africa","9","33","2.4"
"Swaziland","10","50","3.3"
"NORTHERN AMERICA","8","6","1.8"
"Canada","8","4.3","1.6"
"United States","8","5.8","1.8"
"LATIN AMERICA AND THE CARIBBEAN","6","17","2.1"
"CENTRAL AMERICA","5","19","2.3"
"Belize","6","9","2.6"
"Costa Rica","5","7.9","1.7"
"El Salvador","7","17","2.3"
"Guatemala","5","25","2.9"
"Honduras","5","26","2.5"
"Mexico","5","18","2.2"
"Nicaragua","5","18","2.2"
"Panama","5","13","2.4"
"CARIBBEAN","8","29","2.2"
"Antigua and Barbuda","6","8","1.9"
"Bahamas","6","9","1.7"
"Barbados","9","9","1.7"
"Cuba","9","4.3","1.7"
"Curacao","9","11.4","1.7"
"Dominica","8","20","1.8"
"Dominican Republic","6","31","2.5"
"Grenada","8","15","2.1"
"Haiti","8","48","2.9"
"Jamaica","7","14","2"
"Puerto Rico","8","7","1.3"
"St. Kitts-Nevis","9","17","1.8"
"Saint Lucia","6","18","1.5"
"St. Vincent and the Grenadines","9","18","2.1"
"Trinidad and Tobago","8","13","1.7"
"SOUTH AMERICA","6","15","1.9"
"Argentina","8","10.1","2.3"
"Bolivia","7","39","2.9"
"Brazil","6","14","1.6"
"Chile","6","7.3","1.8"
"Colombia","6","14","2"
"Ecuador","5","20","2.5"
"Guyana","8","32","2.5"
"Paraguay","6","28","2.5"
"Peru","6","17","2.4"
"Suriname","7","16","2.4"
"Uruguay","9","11.9","2"
"Venezuela","5","12.5","2.4"
"ASIA","7","28","2.2"
"WESTERN ASIA","5","22","2.8"
"Armenia","9","9","1.6"
"Azerbaijan","6","11","2"
"Bahrain","2","6","1.9"
"Cyprus","6","2","1.4"
"Georgia","14","9","1.7"
"Iraq","4","38","4.1"
"Israel","5","3.1","3.1"
"Jordan","4","16","3.3"
"Kuwait","2","8","2"
"Lebanon","5","8","1.7"
"Oman","3","9","2.9"
"Qatar","1","7","2"
"Saudi Arabia","4","12","2.6"
"Syria","6","17","2.9"
"Turkey","5","10","2.1"
"United Arab Emirates","2","6","1.8"
"Yemen","7","45","4.1"
"CENTRAL ASIA","6","26","2.8"
"Kazakhstan","7","9","3"
"Kyrgyzstan","6","18","3.2"
"Tajikistan","5","36","3.4"
"Turkmenistan","7","45","3.2"
"Uzbekistan","5","29","2.5"
"SOUTH ASIA","6","40","2.4"
"Afghanistan","7","60","5.3"
"Bangladesh","5","38","2.3"
"Bhutan","6","27","2.1"
"India","7","37","2.3"
"Iran","5","5","1.8"
"Maldives","3","8","2.2"
"Nepal","6","32","2.3"
"Pakistan","7","67","3.6"
"Sri Lanka","6","7","2.1"
"SOUTHEAST ASIA","7","23","2.3"
"Brunei","4","6","1.9"
"Cambodia","6","25","2.6"
"Indonesia","7","23","2.4"
"Laos","7","43","2.8"
"Malaysia","5","7","2"
"Myanmar","8","52","2.3"
"Philippines","7","21","2.8"
"Singapore","5","2.4","1.2"
"Thailand","8","10","1.5"
"Timor-Leste","10","39","5.6"
"Vietnam","7","15","2.1"
"EAST ASIA","7","9","1.8"
"China","7","10","1.8"
"Japan","10","1.9","1.5"
"Korea, North","9","16","1.9"
"Korea, South","6","2.7","1.2"
"Mongolia","6","15","3"
"Taiwan","7","4.1","1.2"
"EUROPE","11","4","1.6"
"NORTHERN EUROPE","9","4","1.8"
"Denmark","9","3.1","1.8"
"Estonia","12","2.5","1.6"
"Finland","10","1.9","1.6"
"Iceland","7","1.7","1.8"
"Ireland","7","3.3","1.9"
"Latvia","14","4.1","1.7"
"Lithuania","14","4.5","1.7"
"Norway","8","2.2","1.7"
"Sweden","9","2.5","1.9"
"United Kingdom","9","3.9","1.8"
"WESTERN EUROPE","10","3","1.7"
"Austria","9","3.1","1.5"
"Belgium","10","3.4","1.7"
"France","9","3.5","1.9"
"Germany","11","3.3","1.5"
"Liechtenstein","7","3.3","1.3"
"Luxembourg","7","3.8","1.4"
"Monaco","7","---","1.5"
"Netherlands","9","3.5","1.7"
"Switzerland","8","3.4","1.5"
"EASTERN EUROPE","13","6","1.6"
"Belarus","13","3.2","1.7"
"Bulgaria","15","6.5","1.5"
"Czech Republic","10","2.8","1.6"
"Hungary","13","3.9","1.5"
"Moldova","11","9","1.3"
"Poland","10","4","1.4"
"Romania","13","7.3","1.2"
"Russia","13","6","1.7"
"Slovakia","10","5.1","1.4"
"Ukraine","14","7.4","1.5"
"SOUTHERN EUROPE","10","4","1.4"
"Albania","7","8.7","1.6"
"Andorra","4","3.4","1.2"
"Bosnia-Herzegovina","11","5","1.2"
"Croatia","12","4.1","1.4"
"Greece","11","4","1.3"
"Italy","10","3","1.3"
"Kosovo","5","12","1.8"
"Macedonia","10","12","1.5"
"Malta","8","5.7","1.5"
"Montenegro","10","3.5","1.6"
"Portugal","11","3.2","1.4"
"San Marino","8","2.3","1.4"
"Serbia","14","5.4","1.5"
"Slovenia","10","1.8","1.6"
"Spain","9","2.6","1.3"
"OCEANIA","7","20","2.3"
"Australia","7","3.2","1.8"
"Federated States of Micronesia","6","32","3"
"Fiji","9","14","3.1"
"French Polynesia","5","7.5","1.8"
"Guam","6","10.6","2.9"
"Kiribati","7","44","3.8"
"Marshall Islands","4","22","4.1"
"Nauru","8","18","3.9"
"New Caledonia","5","12","2.3"
"New Zealand","7","3.6","1.9"
"Palau","9","12","2.2"
"Papua New Guinea","7","47","3.7"
"Samoa","5","17","4.2"
"Solomon Islands","5","26","3.9"
"Tonga","6","20","3.6"
"Tuvalu","9","10","3.6"
"Vanuatu","5","22","3.4"
