"Geography","% Married Women 15-49 Using Any Contraception","% Married  Women 15-49 Using Modern Contraception","Life Expectancy at Birth (years), Males"
"AFRICA","35","30","61"
"NORTHERN AFRICA","51","46","71"
"Algeria","56","50","75"
"Egypt","59","57","71"
"Libya","42","20","69"
"Morocco","67","59","74"
"Sudan","12","12","63"
"Tunisia","63","51","75"
"Western Sahara","---","---","68"
"WESTERN AFRICA","18","14","55"
"Benin","18","13","59"
"Burkina Faso","26","25","59"
"Cape Verde","61","57","71"
"Cote d'Ivoire","18","13","52"
"Gambia","9","8","60"
"Ghana","31","26","61"
"Guinea","6","5","59"
"Guinea-Bissau","16","14","55"
"Liberia","20","19","61"
"Mali","16","15","57"
"Mauritania","18","16","62"
"Niger","17","14","59"
"Nigeria","15","10","52"
"Senegal","23","21","65"
"Sierra Leone","17","16","51"
"Togo","20","17","59"
"EASTERN AFRICA","41","38","62"
"Burundi","29","23","55"
"Comoros","19","14","62"
"Djibouti","19","18","61"
"Eritrea","8","7","62"
"Ethiopia","36","35","63"
"Kenya","64","61","64"
"Madagascar","40","33","64"
"Malawi","59","58","60"
"Mauritius","64","31","71"
"Mozambique","27","25","56"
"Rwanda","53","48","65"
"Seychelles","---","---","68"
"Somalia","15","14","54"
"South Sudan","4","2","55"
"Tanzania","38","32","63"
"Uganda","39","35","62"
"Zambia","49","45","59"
"Zimbabwe","67","66","59"
"MIDDLE AFRICA","20","11","57"
"Angola","14","13","58"
"Cameroon","34","21","57"
"Central African Republic","15","12","50"
"Chad","6","5","51"
"Congo","30","19","58"
"Congo, Dem. Rep.","20","8","58"
"Equatorial Guinea","13","10","56"
"Gabon","31","19","64"
"Sao Tome and Principe","41","37","64"
"SOUTHERN AFRICA","55","54","61"
"Botswana","53","51","63"
"Lesotho","60","60","51"
"Namibia","56","55","62"
"South Africa","55","54","61"
"Swaziland","66","66","54"
"NORTHERN AMERICA","74","70","77"
"Canada","74","72","79"
"United States","74","70","76"
"LATIN AMERICA AND THE CARIBBEAN","74","67","73"
"CENTRAL AMERICA","67","64","74"
"Belize","51","49","71"
"Costa Rica","76","75","78"
"El Salvador","72","68","69"
"Guatemala","61","49","69"
"Honduras","73","64","71"
"Mexico","67","65","75"
"Nicaragua","80","77","72"
"Panama","63","60","75"
"CARIBBEAN","59","56","71"
"Antigua and Barbuda","---","---","74"
"Bahamas","---","---","72"
"Barbados","59","55","73"
"Cuba","74","72","76"
"Curacao","---","---","75"
"Dominica","---","---","73"
"Dominican Republic","70","68","71"
"Grenada","---","---","74"
"Haiti","35","31","61"
"Jamaica","73","68","73"
"Puerto Rico","84","72","76"
"St. Kitts-Nevis","---","---","73"
"Saint Lucia","56","53","75"
"St. Vincent and the Grenadines","---","---","70"
"Trinidad and Tobago","43","38","69"
"SOUTH AMERICA","78","69","72"
"Argentina","81","78","74"
"Bolivia","61","35","66"
"Brazil","80","77","72"
