"Geography","Life Expectancy at Birth (years), Females ","GNI per Capita PPP 2016","Percent Urban"
"AFRICA","64","4,833","41"
"NORTHERN AFRICA","74","10,046","52"
"Algeria","78","14,720","71"
"Egypt","73","11,110","43"
"Libya","75","11,210","79"
"Morocco","77","7,700","60"
"Sudan","66","4,290","35"
"Tunisia","78","11,150","68"
"Western Sahara","71","---","81"
"WESTERN AFRICA","57","4,095","46"
"Benin","62","2,170","44"
"Burkina Faso","61","1,680","31"
"Cape Verde","75","6,220","66"
"Cote d'Ivoire","55","3,610","55"
"Gambia","62","1,640","60"
"Ghana","63","4,150","55"
"Guinea","60","1,200","38"
"Guinea-Bissau","59","1,580","50"
"Liberia","63","700","50"
"Mali","58","2,040","41"
"Mauritania","65","3,760","60"
"Niger","61","970","19"
"Nigeria","54","5,740","49"
"Senegal","69","2,480","44"
"Sierra Leone","52","1,320","40"
"Togo","61","1,370","40"
"EASTERN AFRICA","65","2,154","27"
"Burundi","59","770","12"
"Comoros","65","1,520","28"
"Djibouti","64","---","77"
"Eritrea","67","1,500","23"
"Ethiopia","67","1,730","20"
"Kenya","69","3,130","26"
"Madagascar","67","1,440","36"
"Malawi","65","1,140","16"
"Mauritius","78","20,980","41"
"Mozambique","60","1,190","33"
"Rwanda","69","1,870","30"
"Seychelles","78","28,390","54"
"Somalia","58","---","40"
"South Sudan","57","1,700","19"
"Tanzania","67","2,740","32"
"Uganda","64","1,820","20"
"Zambia","64","3,790","40"
"Zimbabwe","62","1,920","33"
"MIDDLE AFRICA","60","2,688","44"
"Angola","64","6,220","45"
"Cameroon","59","3,250","55"
"Central African Republic","53","700","40"
"Chad","54","1,950","23"
"Congo","60","5,380","66"
"Congo, Dem. Rep.","61","730","43"
"Equatorial Guinea","59","17,020","40"
"Gabon","67","16,720","87"
"Sao Tome and Principe","69","3,240","67"
"SOUTHERN AFRICA","66","12,467","62"
"Botswana","69","16,380","58"
"Lesotho","56","3,390","28"
"Namibia","65","10,550","48"
"South Africa","67","12,860","65"
"Swaziland","60","7,980","21"
"NORTHERN AMERICA","81","56,554","81"
"Canada","84","43,420","82"
"United States","81","58,030","81"
"LATIN AMERICA AND THE CARIBBEAN","79","15,001","80"
"CENTRAL AMERICA","79","15,315","74"
"Belize","77","8,000","45"
"Costa Rica","83","15,750","78"
"El Salvador","78","8,220","66"
"Guatemala","76","7,750","52"
"Honduras","76","4,410","55"
"Mexico","79","17,740","80"
"Nicaragua","78","5,390","59"
"Panama","81","20,990","67"
"CARIBBEAN","76","0","71"
"Antigua and Barbuda","79","21,840","23"
"Bahamas","78","22,090","83"
"Barbados","78","16,070","31"
"Cuba","81","0","77"
"Curacao","81","0","89"
"Dominica","78","10,610","70"
"Dominican Republic","77","14,480","80"
"Grenada","79","13,440","36"
"Haiti","66","1,790","60"
"Jamaica","78","8,500","55"
"Puerto Rico","83","24,020","99"
"St. Kitts-Nevis","78","25,940","32"
"Saint Lucia","83","11,370","19"
"St. Vincent and the Grenadines","75","11,530","51"
"Trinidad and Tobago","75","30,810","8"
"SOUTH AMERICA","79","15,192","83"
"Argentina","80","19,480","91"
"Bolivia","71","7,090","69"
"Brazil","79","14,810","86"
"Chile","82","23,270","83"
"Colombia","79","13,910","76"
"Ecuador","79","11,070","64"
"Guyana","69","7,860","29"
"Paraguay","75","9,060","60"
"Peru","77","12,480","79"
"Suriname","75","13,720","66"
"Uruguay","81","21,090","95"
"Venezuela","79","17,700","88"
"ASIA","74","12,833","49"
"WESTERN ASIA","76","27,583","71"
"Armenia","78","9,000","64"
"Azerbaijan","78","16,130","53"
"Bahrain","78","44,690","100"
"Cyprus","84","31,420","67"
"Georgia","77","9,450","57"
"Iraq","72","17,240","70"
"Israel","84","37,400","91"
"Jordan","76","8,980","84"
"Kuwait","76","83,420","98"
"Lebanon","79","13,860","88"
"Oman","79","41,320","75"
"Qatar","80","124,740","99"
"Saudi Arabia","76","55,760","83"
"Syria","77","0","58"
"Turkey","81","23,990","74"
"United Arab Emirates","79","72,850","86"
"Yemen","66","2,490","35"
"CENTRAL ASIA","75","10,916","41"
"Kazakhstan","77","22,910","55"
"Kyrgyzstan","75","3,410","34"
"Tajikistan","74","3,500","27"
"Turkmenistan","71","16,060","50"
"Uzbekistan","76","6,640","37"
"SOUTH ASIA","70","6,054","35"
"Afghanistan","65","1,900","24"
"Bangladesh","74","3,790","35"
"Bhutan","70","8,070","39"
"India","70","6,490","33"
"Iran","77","17,370","73"
"Maldives","78","11,970","46"
"Nepal","71","2,520","20"
"Pakistan","67","5,580","39"
"Sri Lanka","78","11,970","18"
"SOUTHEAST ASIA","73","11,376","48"
"Brunei","79","83,250","77"
"Cambodia","71","3,510","21"
"Indonesia","71","11,220","54"
"Laos","68","5,920","40"
"Malaysia","77","26,900","75"
"Myanmar","69","5,070","35"
"Philippines","73","9,400","45"
"Singapore","85","85,050","100"
"Thailand","79","16,070","49"
"Timor-Leste","70","4,340","33"
"Vietnam","76","6,050","33"
"EAST ASIA","79","18,561","62"
"China","78","15,500","57"
"Japan","87","42,870","94"
"Korea, North","75","0","61"
"Korea, South","85","35,790","83"
"Mongolia","75","11,290","67"
"Taiwan","83","0","77"
"EUROPE","81","33,677","74"
"NORTHERN EUROPE","83","44,333","81"
"Denmark","83","51,040","88"
"Estonia","82","28,920","68"
"Finland","84","43,400","84"
"Iceland","84","52,490","94"
"Ireland","84","56,870","64"
"Latvia","79","26,090","68"
"Lithuania","80","28,840","67"
"Norway","84","62,510","81"
"Sweden","84","50,000","86"
"United Kingdom","82","42,100","83"
"WESTERN EUROPE","84","47,708","80"
"Austria","84","49,990","66"
"Belgium","83","46,010","98"
"France","85","42,380","80"
"Germany","83","49,530","76"
"Liechtenstein","83","---","14"
"Luxembourg","85","75,750","90"
"Monaco","---","---","100"
"Netherlands","84","50,320","91"
"Switzerland","85","63,660","85"
"EASTERN EUROPE","78","21,068","70"
"Belarus","79","17,210","78"
"Bulgaria","78","19,020","73"
"Czech Republic","81","32,710","73"
"Hungary","79","25,640","72"
"Moldova","76","5,670","43"
"Poland","82","26,770","60"
"Romania","79","22,950","55"
"Russia","77","22,540","74"
"Slovakia","80","29,910","54"
"Ukraine","76","8,190","70"
"SOUTHERN EUROPE","84","32,803","70"
"Albania","80","11,880","56"
"Andorra","---","---","85"
"Bosnia-Herzegovina","79","12,140","40"
"Croatia","80","22,880","59"
"Greece","84","26,900","78"
"Italy","85","38,230","69"
"Kosovo","79","10,200","38"
"Macedonia","77","14,480","57"
"Malta","84","35,720","96"
"Montenegro","79","17,090","64"
"Portugal","83","29,990","64"
"San Marino","89","---","94"
"Serbia","78","13,680","60"
"Slovenia","84","32,360","50"
"Spain","86","36,340","80"
"OCEANIA","79","33,668","69"
"Australia","85","45,970","90"
"Federated States of Micronesia","70","4,330","23"
"Fiji","73","9,140","51"
"French Polynesia","78","---","56"
"Guam","82","---","94"
"Kiribati","70","3,240","44"
"Marshall Islands","73","5,280","74"
"Nauru","71","17,520","100"
"New Caledonia","80","---","71"
"New Zealand","83","37,860","86"
"Palau","77","14,740","88"
"Papua New Guinea","68","2,700","13"
"Samoa","78","6,200","18"
"Solomon Islands","72","2,150","20"
"Tonga","76","5,760","24"
"Tuvalu","72","5,920","61"
"Vanuatu","74","3,050","26"
