"Geography","Adolescent Fertility Rate Ages 15-19","% Ages 15-24 With HIV/AIDS, Males 2016","% Ages 15-24 With HIV/AIDS, Females 2016"
"AFRICA","108","0.9","1.8"
"NORTHERN AFRICA","49","0.1","0.1"
"Algeria","10","0.0499","0.0499"
"Egypt","56","0.0499","0.0499"
"Libya","6","---","---"
"Morocco","32","0.0499","0.0499"
"Sudan","87","0.1","0.2"
"Tunisia","8","0.0499","0.0499"
"Western Sahara","25","---","---"
"WESTERN AFRICA","125","0.7","1.2"
"Benin","94","0.3","0.5"
"Burkina Faso","132","0.4","0.6"
"Cape Verde","75","0.3","0.5"
"Cote d'Ivoire","129","0.5","1.1"
"Gambia","88","0.1","0.4"
"Ghana","76","0.4","1"
"Guinea","146","0.4","1"
"Guinea-Bissau","106","0.5","0.8"
"Liberia","149","0.6","1.2"
"Mali","174","0.3","0.6"
"Mauritania","84","0.2","0.1"
"Niger","206","0.1","0.2"
"Nigeria","122","1","1.6"
"Senegal","90","0.0499","0.1"
"Sierra Leone","125","0.7","1.3"
"Togo","84","0.4","0.8"
"EASTERN AFRICA","111","1.3","2.3"
"Burundi","65","0.3","0.4"
"Comoros","70","0.0499","0.0499"
"Djibouti","20","0.4","0.6"
"Eritrea","54","0.2","0.2"
"Ethiopia","80","0.4","0.5"
"Kenya","96","1.9","3.5"
"Madagascar","152","0.2","0.1"
"Malawi","136","2.2","4.5"
"Mauritius","27","---","---"
"Mozambique","194","2.8","4.6"
"Rwanda","45","0.7","1.3"
"Seychelles","58","---","---"
"Somalia","103","0.0499","0.1"
"South Sudan","67","0.6","1.1"
"Tanzania","132","0.9","2.3"
"Uganda","132","1.9","3.8"
"Zambia","141","4.1","6.9"
"Zimbabwe","110","2.8","5.7"
"MIDDLE AFRICA","142","0.4","0.8"
"Angola","163","0.4","0.8"
"Cameroon","119","0.9","2.3"
"Central African Republic","107","1.2","1.9"
"Chad","179","0.3","0.5"
"Congo","111","0.8","1.4"
"Congo, Dem. Rep.","138","0.1","0.3"
"Equatorial Guinea","159","1.4","2.6"
"Gabon","114","0.6","2"
"Sao Tome and Principe","92","---","---"
"SOUTHERN AFRICA","71","4.1","10.5"
"Botswana","33","5.4","10.2"
"Lesotho","94","6.3","13.9"
"Namibia","82","3.2","6.1"
"South Africa","71","4","10.4"
"Swaziland","87","3.8","17.6"
"NORTHERN AMERICA","21","---","---"
"Canada","10","---","---"
"United States","22","---","---"
"LATIN AMERICA AND THE CARIBBEAN","67","0.2","0.2"
