"Geography","Secondary School Enrollment Ratio, Males","Secondary School Enrollment Ratio, Females","Tertiary Education Enrollment Ratio, Males"
"AFRICA","52","48","14"
"NORTHERN AFRICA","77","75","30"
"Algeria","98","102","29"
"Egypt","86","86","37"
"Libya","---","---","---"
"Morocco","74","64","29"
"Sudan","44","41","16"
"Tunisia","90","94","26"
"Western Sahara","---","---","---"
"WESTERN AFRICA","53","47","12"
"Benin","67","47","22"
"Burkina Faso","35","32","7"
"Cape Verde","88","98","18"
"Cote d'Ivoire","51","37","11"
"Gambia","59","56","4"
"Ghana","63","61","19"
"Guinea","47","31","15"
"Guinea-Bissau","---","---","---"
"Liberia","42","33","14"
"Mali","46","37","10"
"Mauritania","32","29","7"
"Niger","24","17","3"
"Nigeria","58","53","12"
"Senegal","50","49","13"
"Sierra Leone","46","40","---"
"Togo","---","---","15"
"EASTERN AFRICA","38","36","7"
"Burundi","44","41","8"
"Comoros","58","62","10"
"Djibouti","53","43","6"
"Eritrea","33","28","3"
"Ethiopia","36","34","11"
"Kenya","63","57","5"
"Madagascar","39","38","5"
"Malawi","46","41","1"
"Mauritius","94","98","32"
"Mozambique","34","31","7"
"Rwanda","35","38","9"
"Seychelles","79","84","9"
"Somalia","---","---","---"
"South Sudan","12","7","---"
"Tanzania","34","31","5"
"Uganda","24","22","5"
"Zambia","---","---","5"
"Zimbabwe","48","47","9"
"MIDDLE AFRICA","48","32","11"
"Angola","35","23","10"
"Cameroon","63","54","20"
"Central African Republic","23","12","4"
"Chad","31","14","6"
"Congo","58","51","11"
"Congo, Dem. Rep.","54","33","9"
"Equatorial Guinea","---","---","---"
"Gabon","---","---","---"
"Sao Tome and Principe","81","92","13"
"SOUTHERN AFRICA","86","108","15"
"Botswana","---","---","19"
"Lesotho","46","62","8"
"Namibia","---","---","---"
"South Africa","88","112","16"
"Swaziland","66","66","5"
"NORTHERN AMERICA","98","99","73"
"Canada","110","110","---"
"United States","97","98","73"
"LATIN AMERICA AND THE CARIBBEAN","92","97","41"
"CENTRAL AMERICA","84","88","29"
"Belize","80","82","18"
"Costa Rica","121","126","47"
"El Salvador","79","80","28"
"Guatemala","68","63","20"
"Honduras","65","77","19"
"Mexico","88","93","30"
"Nicaragua","70","79","---"
"Panama","73","78","31"
"CARIBBEAN","83","89","36"
"Antigua and Barbuda","102","104","15"
"Bahamas","90","95","---"
"Barbados","108","111","40"
"Cuba","98","103","30"
"Curacao","86","91","12"
"Dominica","101","100","---"
"Dominican Republic","74","82","35"
"Grenada","99","99","85"
"Haiti","---","---","---"
"Jamaica","79","85","20"
"Puerto Rico","79","84","70"
"St. Kitts-Nevis","88","93","53"
"Saint Lucia","85","85","12"
"St. Vincent and the Grenadines","108","105","---"
"Trinidad and Tobago","---","---","---"
"SOUTH AMERICA","96","101","47"
"Argentina","103","110","64"
"Bolivia","87","86","---"
"Brazil","97","102","42"
"Chile","100","101","83"
"Colombia","95","102","52"
"Ecuador","105","109","35"
"Guyana","90","89","8"
"Paraguay","74","79","29"
"Peru","96","96","39"
"Suriname","72","91","---"
"Uruguay","90","100","47"
"Venezuela","86","93","---"
"ASIA","80","80","33"
"WESTERN ASIA","88","81","59"
"Armenia","88","89","42"
"Azerbaijan","---","---","24"
"Bahrain","102","102","31"
"Cyprus","100","99","51"
"Georgia","104","104","39"
"Iraq","---","---","---"
"Israel","102","103","55"
"Jordan","80","85","43"
"Kuwait","88","103","20"
"Lebanon","61","61","40"
"Oman","101","108","---"
"Qatar","82","104","6"
"Saudi Arabia","123","94","64"
"Syria","50","51","41"
"Turkey","104","101","101"
"United Arab Emirates","---","---","---"
"Yemen","57","40","14"
"CENTRAL ASIA","98","96","23"
"Kazakhstan","111","113","41"
"Kyrgyzstan","91","93","41"
"Tajikistan","92","83","34"
"Turkmenistan","87","84","10"
"Uzbekistan","97","95","11"
"SOUTH ASIA","70","70","26"
"Afghanistan","71","40","13"
"Bangladesh","60","67","15"
"Bhutan","81","87","13"
"India","74","74","27"
"Iran","89","89","76"
"Maldives","---","---","12"
"Nepal","67","72","15"
"Pakistan","49","39","11"
"Sri Lanka","97","102","16"
"SOUTHEAST ASIA","85","87","26"
"Brunei","96","96","23"
"Cambodia","---","---","14"
"Indonesia","86","86","23"
"Laos","64","59","17"
"Malaysia","75","81","21"
"Myanmar","51","52","12"
"Philippines","84","93","31"
"Singapore","---","---","---"
"Thailand","133","125","41"
"Timor-Leste","74","80","21"
"Vietnam","---","---","29"
"EAST ASIA","94","96","43"
"China","93","96","40"
"Japan","102","102","66"
"Korea, North","93","94","36"
"Korea, South","99","98","105"
"Mongolia","91","92","58"
"Taiwan","---","---","---"
"EUROPE","111","111","64"
"NORTHERN EUROPE","126","132","54"
"Denmark","128","133","70"
"Estonia","116","115","55"
"Finland","143","156","79"
"Iceland","116","121","60"
"Ireland","126","129","80"
"Latvia","120","119","55"
"Lithuania","110","106","56"
"Norway","115","111","63"
"Sweden","132","150","50"
"United Kingdom","125","130","49"
"WESTERN EUROPE","113","112","65"
"Austria","102","98","74"
"Belgium","156","178","65"
"France","110","111","58"
"Germany","106","100","70"
"Liechtenstein","131","102","45"
"Luxembourg","101","103","18"
"Monaco","---","---","---"
"Netherlands","135","136","75"
"Switzerland","103","99","57"
"EASTERN EUROPE","104","102","66"
"Belarus","108","106","76"
"Bulgaria","101","97","65"
"Czech Republic","105","106","54"
"Hungary","105","105","45"
"Moldova","86","86","35"
"Poland","110","106","54"
"Romania","93","92","48"
"Russia","106","103","73"
"Slovakia","92","93","42"
"Ukraine","100","98","77"
"SOUTHERN EUROPE","112","110","66"
"Albania","99","93","49"
"Andorra","---","---","---"
"Bosnia-Herzegovina","---","---","---"
"Croatia","96","101","59"
"Greece","109","103","114"
"Italy","104","102","53"
"Kosovo","---","---","---"
"Macedonia","80","78","38"
"Malta","92","98","40"
"Montenegro","90","90","49"
"Portugal","121","117","58"
"San Marino","93","96","50"
"Serbia","96","97","50"
"Slovenia","111","111","68"
"Spain","130","130","82"
"OCEANIA","103","98","---"
"Australia","141","134","75"
"Federated States of Micronesia","---","---","---"
"Fiji","84","93","---"
"French Polynesia","---","---","---"
"Guam","---","---","---"
"Kiribati","---","---","---"
"Marshall Islands","73","80","45"
"Nauru","82","83","---"
"New Caledonia","---","---","---"
"New Zealand","113","120","72"
"Palau","96","95","49"
"Papua New Guinea","46","35","---"
"Samoa","81","90","---"
"Solomon Islands","50","47","---"
"Tonga","86","94","---"
"Tuvalu","76","97","---"
"Vanuatu","53","56","---"
