"Geography","Tertiary Education Enrollment Ratio, Females"
"AFRICA","12"
"NORTHERN AFRICA","33"
"Algeria","45"
"Egypt","36"
"Libya","---"
"Morocco","28"
"Sudan","17"
"Tunisia","43"
"Western Sahara","---"
"WESTERN AFRICA","8"
"Benin","8"
"Burkina Faso","4"
"Cape Verde","25"
"Cote d'Ivoire","7"
"Gambia","3"
"Ghana","13"
"Guinea","7"
"Guinea-Bissau","---"
"Liberia","9"
"Mali","4"
"Mauritania","4"
"Niger","1"
"Nigeria","8"
"Senegal","8"
"Sierra Leone","---"
"Togo","6"
"EASTERN AFRICA","4"
"Burundi","2"
"Comoros","8"
"Djibouti","4"
"Eritrea","2"
"Ethiopia","5"
"Kenya","3"
"Madagascar","5"
"Malawi","1"
"Mauritius","42"
"Mozambique","5"
"Rwanda","7"
"Seychelles","20"
"Somalia","---"
"South Sudan","---"
"Tanzania","2"
"Uganda","4"
"Zambia","3"
"Zimbabwe","8"
"MIDDLE AFRICA","6"
"Angola","8"
"Cameroon","15"
"Central African Republic","1"
"Chad","1"
"Congo","8"
"Congo, Dem. Rep.","4"
"Equatorial Guinea","---"
"Gabon","---"
"Sao Tome and Principe","14"
"SOUTHERN AFRICA","23"
"Botswana","28"
"Lesotho","12"
"Namibia","---"
"South Africa","23"
"Swaziland","5"
"NORTHERN AMERICA","100"
"Canada","---"
"United States","100"
"LATIN AMERICA AND THE CARIBBEAN","53"
"CENTRAL AMERICA","30"
"Belize","29"
"Costa Rica","61"
"El Salvador","31"
"Guatemala","24"
"Honduras","25"
"Mexico","30"
"Nicaragua","---"
"Panama","47"
"CARIBBEAN","58"
"Antigua and Barbuda","31"
"Bahamas","---"
"Barbados","91"
"Cuba","43"
"Curacao","28"
"Dominica","---"
"Dominican Republic","65"
"Grenada","98"
"Haiti","---"
"Jamaica","35"
"Puerto Rico","99"
"St. Kitts-Nevis","107"
"Saint Lucia","22"
"St. Vincent and the Grenadines","---"
"Trinidad and Tobago","---"
"SOUTH AMERICA","63"
"Argentina","103"
"Bolivia","---"
"Brazil","59"
"Chile","94"
"Colombia","60"
"Ecuador","45"
"Guyana","17"
"Paraguay","41"
"Peru","43"
"Suriname","---"
"Uruguay","80"
"Venezuela","---"
"ASIA","35"
"WESTERN ASIA","57"
"Armenia","47"
"Azerbaijan","27"
"Bahrain","59"
"Cyprus","69"
"Georgia","48"
"Iraq","---"
"Israel","75"
"Jordan","47"
"Kuwait","33"
"Lebanon","46"
"Oman","---"
"Qatar","44"
"Saudi Arabia","62"
"Syria","47"
"Turkey","88"
"United Arab Emirates","---"
"Yemen","6"
"CENTRAL ASIA","23"
"Kazakhstan","51"
"Kyrgyzstan","53"
"Tajikistan","24"
"Turkmenistan","6"
"Uzbekistan","7"
"SOUTH ASIA","24"
"Afghanistan","4"
"Bangladesh","11"
"Bhutan","9"
"India","27"
"Iran","68"
"Maldives","20"
"Nepal","15"
"Pakistan","9"
"Sri Lanka","24"
"SOUTHEAST ASIA","30"
"Brunei","39"
"Cambodia","12"
"Indonesia","26"
"Laos","17"
"Malaysia","32"
"Myanmar","15"
"Philippines","40"
"Singapore","---"
"Thailand","57"
"Timor-Leste","15"
"Vietnam","29"
"EAST ASIA","49"
"China","47"
"Japan","61"
"Korea, North","20"
"Korea, South","80"
"Mongolia","80"
"Taiwan","---"
"EUROPE","78"
"NORTHERN EUROPE","72"
"Denmark","96"
"Estonia","85"
"Finland","96"
"Iceland","103"
"Ireland","88"
"Latvia","79"
"Lithuania","82"
"Norway","91"
"Sweden","76"
"United Kingdom","64"
"WESTERN EUROPE","71"
"Austria","89"
"Belgium","85"
"France","71"
"Germany","67"
"Liechtenstein","22"
"Luxembourg","21"
"Monaco","---"
"Netherlands","82"
"Switzerland","59"
"EASTERN EUROPE","83"
"Belarus","101"
"Bulgaria","83"
"Czech Republic","76"
"Hungary","57"
"Moldova","47"
"Poland","83"
"Romania","59"
"Russia","88"
"Slovakia","65"
"Ukraine","88"
"SOUTHERN EUROPE","82"
"Albania","68"
"Andorra","---"
"Bosnia-Herzegovina","---"
"Croatia","80"
"Greece","114"
"Italy","72"
"Kosovo","---"
"Macedonia","47"
"Malta","55"
"Montenegro","62"
"Portugal","66"
"San Marino","70"
"Serbia","67"
"Slovenia","98"
"Spain","97"
"OCEANIA","---"
"Australia","106"
"Federated States of Micronesia","---"
"Fiji","---"
"French Polynesia","---"
"Guam","---"
"Kiribati","---"
"Marshall Islands","41"
"Nauru","---"
"New Caledonia","---"
"New Zealand","97"
"Palau","76"
"Papua New Guinea","---"
"Samoa","---"
"Solomon Islands","---"
"Tonga","---"
"Tuvalu","---"
"Vanuatu","---"
